metric,value
kmeans.content.selection_metrics.candidate_metrics[0].calinski_harabasz_score,2010.5925418114768
kmeans.content.selection_metrics.candidate_metrics[0].selection_score,0.8718959708405503
kmeans.content.selection_metrics.candidate_metrics[0].cluster_sizes[0],6
kmeans.content.selection_metrics.candidate_metrics[0].cluster_sizes[1],6
kmeans.content.selection_metrics.candidate_metrics[1].k,3
kmeans.content.selection_metrics.candidate_metrics[1].silhouette_score,0.7342258656803581
kmeans.content.selection_metrics.candidate_metrics[1].davies_bouldin_index,0.3110107952247483
kmeans.content.selection_metrics.candidate_metrics[1].calinski_harabasz_score,1616.3324638851282
kmeans.content.selection_metrics.candidate_metrics[1].selection_score,0.5207149616943838
kmeans.content.selection_metrics.candidate_metrics[1].cluster_sizes[0],6
kmeans.content.selection_metrics.candidate_metrics[1].cluster_sizes[1],3
kmeans.content.selection_metrics.candidate_metrics[1].cluster_sizes[2],3
kmeans.content.selection_metrics.candidate_metrics[2].k,4
kmeans.content.selection_metrics.candidate_metrics[2].silhouette_score,0.5138888888888875
kmeans.content.selection_metrics.candidate_metrics[2].davies_bouldin_index,0.44444448638973133
kmeans.content.selection_metrics.candidate_metrics[2].calinski_harabasz_score,2354.6912987800565
kmeans.content.selection_metrics.candidate_metrics[2].selection_score,0.5129740677165132
kmeans.content.selection_metrics.candidate_metrics[2].cluster_sizes[0],3
kmeans.content.selection_metrics.candidate_metrics[2].cluster_sizes[1],3
kmeans.content.selection_metrics.candidate_metrics[2].cluster_sizes[2],3
kmeans.content.selection_metrics.candidate_metrics[2].cluster_sizes[3],3
kmeans.content.selection_metrics.candidate_metrics[3].k,5
kmeans.content.selection_metrics.candidate_metrics[3].silhouette_score,0.4680555555555625
kmeans.content.selection_metrics.candidate_metrics[3].davies_bouldin_index,0.4777777985517629
kmeans.content.selection_metrics.candidate_metrics[3].calinski_harabasz_score,2399.2614734464164
kmeans.content.selection_metrics.candidate_metrics[3].selection_score,0.4808333333333375
kmeans.content.selection_metrics.candidate_metrics[3].cluster_sizes[0],2
kmeans.content.selection_metrics.candidate_metrics[3].cluster_sizes[1],3
kmeans.content.selection_metrics.candidate_metrics[3].cluster_sizes[2],2
kmeans.content.selection_metrics.candidate_metrics[3].cluster_sizes[3],3
kmeans.content.selection_metrics.candidate_metrics[3].cluster_sizes[4],2
learner_model.bkt_irt.status,ok
learner_model.bkt_irt.sample_count,6
learner_model.bkt_irt.skipped_missing_label,0
learner_model.bkt_irt.skipped_invalid_prediction,0
learner_model.bkt_irt.accuracy,0.6666666666666666
learner_model.bkt_irt.roc_auc.status,ok
learner_model.bkt_irt.roc_auc.value,0.888888888888889
learner_model.bkt_irt.log_loss,0.4809879349586312
learner_model.bkt_irt.brier_score,0.15583333333333335
learner_model.bkt_irt.calibration_buckets[0].bucket,0.1-0.2
learner_model.bkt_irt.calibration_buckets[0].count,1
learner_model.bkt_irt.calibration_buckets[0].avg_predicted,0.19
learner_model.bkt_irt.calibration_buckets[0].avg_actual,0.0
learner_model.bkt_irt.calibration_buckets[1].bucket,0.2-0.3
learner_model.bkt_irt.calibration_buckets[1].count,1
learner_model.bkt_irt.calibration_buckets[1].avg_predicted,0.28
learner_model.bkt_irt.calibration_buckets[1].avg_actual,0.0
learner_model.bkt_irt.calibration_buckets[2].bucket,0.4-0.5
learner_model.bkt_irt.calibration_buckets[2].count,1
learner_model.bkt_irt.calibration_buckets[2].avg_predicted,0.44
learner_model.bkt_irt.calibration_buckets[2].avg_actual,1.0
learner_model.bkt_irt.calibration_buckets[3].bucket,0.6-0.7
learner_model.bkt_irt.calibration_buckets[3].count,2
learner_model.bkt_irt.calibration_buckets[3].avg_predicted,0.645
learner_model.bkt_irt.calibration_buckets[3].avg_actual,0.5
learner_model.bkt_irt.calibration_buckets[4].bucket,0.8-0.9
learner_model.bkt_irt.calibration_buckets[4].count,1
learner_model.bkt_irt.calibration_buckets[4].avg_predicted,0.82
learner_model.bkt_irt.calibration_buckets[4].avg_actual,1.0
learner_model.bkt_irt.per_knowledge_component.kc-algebra.status,ok
learner_model.bkt_irt.per_knowledge_component.kc-algebra.sample_count,2
learner_model.bkt_irt.per_knowledge_component.kc-algebra.skipped_missing_label,0
learner_model.bkt_irt.per_knowledge_component.kc-algebra.skipped_invalid_prediction,0
learner_model.bkt_irt.per_knowledge_component.kc-algebra.accuracy,1.0
learner_model.bkt_irt.per_knowledge_component.kc-algebra.roc_auc.status,insufficient_classes
learner_model.bkt_irt.per_knowledge_component.kc-algebra.roc_auc.value,
learner_model.bkt_irt.per_knowledge_component.kc-algebra.log_loss,0.2920567097679115
learner_model.bkt_irt.per_knowledge_component.kc-algebra.brier_score,0.06739999999999999
learner_model.bkt_irt.per_knowledge_component.kc-algebra.calibration_buckets[0].bucket,0.6-0.7
learner_model.bkt_irt.per_knowledge_component.kc-algebra.calibration_buckets[0].count,1
learner_model.bkt_irt.per_knowledge_component.kc-algebra.calibration_buckets[0].avg_predicted,0.68
learner_model.bkt_irt.per_knowledge_component.kc-algebra.calibration_buckets[0].avg_actual,1.0
learner_model.bkt_irt.per_knowledge_component.kc-algebra.calibration_buckets[1].bucket,0.8-0.9
learner_model.bkt_irt.per_knowledge_component.kc-algebra.calibration_buckets[1].count,1
learner_model.bkt_irt.per_knowledge_component.kc-algebra.calibration_buckets[1].avg_predicted,0.82
learner_model.bkt_irt.per_knowledge_component.kc-algebra.calibration_buckets[1].avg_actual,1.0
learner_model.bkt_irt.per_knowledge_component.kc-geometry.status,ok
learner_model.bkt_irt.per_knowledge_component.kc-geometry.sample_count,2
learner_model.bkt_irt.per_knowledge_component.kc-geometry.skipped_missing_label,0
learner_model.bkt_irt.per_knowledge_component.kc-geometry.skipped_invalid_prediction,0
learner_model.bkt_irt.per_knowledge_component.kc-geometry.accuracy,0.5
learner_model.bkt_irt.per_knowledge_component.kc-geometry.roc_auc.status,insufficient_classes
learner_model.bkt_irt.per_knowledge_component.kc-geometry.roc_auc.value,
learner_model.bkt_irt.per_knowledge_component.kc-geometry.log_loss,0.6350563034152406
learner_model.bkt_irt.per_knowledge_component.kc-geometry.brier_score,0.22525
learner_model.bkt_irt.per_knowledge_component.kc-geometry.calibration_buckets[0].bucket,0.2-0.3
learner_model.bkt_irt.per_knowledge_component.kc-geometry.calibration_buckets[0].count,1
learner_model.bkt_irt.per_knowledge_component.kc-geometry.calibration_buckets[0].avg_predicted,0.28
learner_model.bkt_irt.per_knowledge_component.kc-geometry.calibration_buckets[0].avg_actual,0.0
learner_model.bkt_irt.per_knowledge_component.kc-geometry.calibration_buckets[1].bucket,0.6-0.7
learner_model.bkt_irt.per_knowledge_component.kc-geometry.calibration_buckets[1].count,1
learner_model.bkt_irt.per_knowledge_component.kc-geometry.calibration_buckets[1].avg_predicted,0.61
learner_model.bkt_irt.per_knowledge_component.kc-geometry.calibration_buckets[1].avg_actual,0.0
learner_model.bkt_irt.per_knowledge_component.kc-probability.status,ok
learner_model.bkt_irt.per_knowledge_component.kc-probability.sample_count,2
learner_model.bkt_irt.per_knowledge_component.kc-probability.skipped_missing_label,0
learner_model.bkt_irt.per_knowledge_component.kc-probability.skipped_invalid_prediction,0
learner_model.bkt_irt.per_knowledge_component.kc-probability.accuracy,0.5
learner_model.bkt_irt.per_knowledge_component.kc-probability.roc_auc.status,ok
learner_model.bkt_irt.per_knowledge_component.kc-probability.roc_auc.value,1.0
learner_model.bkt_irt.per_knowledge_component.kc-probability.log_loss,0.5158507916927414
learner_model.bkt_irt.per_knowledge_component.kc-probability.brier_score,0.17485000000000003
learner_model.bkt_irt.per_knowledge_component.kc-probability.calibration_buckets[0].bucket,0.1-0.2
learner_model.bkt_irt.per_knowledge_component.kc-probability.calibration_buckets[0].count,1
learner_model.bkt_irt.per_knowledge_component.kc-probability.calibration_buckets[0].avg_predicted,0.19
learner_model.bkt_irt.per_knowledge_component.kc-probability.calibration_buckets[0].avg_actual,0.0
learner_model.bkt_irt.per_knowledge_component.kc-probability.calibration_buckets[1].bucket,0.4-0.5
learner_model.bkt_irt.per_knowledge_component.kc-probability.calibration_buckets[1].count,1
learner_model.bkt_irt.per_knowledge_component.kc-probability.calibration_buckets[1].avg_predicted,0.44
learner_model.bkt_irt.per_knowledge_component.kc-probability.calibration_buckets[1].avg_actual,1.0
learner_model.bkt_irt.cold_start_performance.status,ok
learner_model.bkt_irt.cold_start_performance.sample_count,2
learner_model.bkt_irt.cold_start_performance.skipped_missing_label,0
learner_model.bkt_irt.cold_start_performance.skipped_invalid_prediction,0
learner_model.bkt_irt.cold_start_performance.accuracy,0.5
learner_model.bkt_irt.cold_start_performance.roc_auc.status,insufficient_classes
learner_model.bkt_irt.cold_start_performance.roc_auc.value,
learner_model.bkt_irt.cold_start_performance.log_loss,0.6350563034152406
learner_model.bkt_irt.cold_start_performance.brier_score,0.22525
learner_model.bkt_irt.cold_start_performance.calibration_buckets[0].bucket,0.2-0.3
learner_model.bkt_irt.cold_start_performance.calibration_buckets[0].count,1
learner_model.bkt_irt.cold_start_performance.calibration_buckets[0].avg_predicted,0.28
learner_model.bkt_irt.cold_start_performance.calibration_buckets[0].avg_actual,0.0
learner_model.bkt_irt.cold_start_performance.calibration_buckets[1].bucket,0.6-0.7
learner_model.bkt_irt.cold_start_performance.calibration_buckets[1].count,1
learner_model.bkt_irt.cold_start_performance.calibration_buckets[1].avg_predicted,0.61
learner_model.bkt_irt.cold_start_performance.calibration_buckets[1].avg_actual,0.0
learner_model.notes[0],ROC-AUC is reported only when both positive and negative labels exist.
learner_model.notes[1],Partial scores are converted to binary labels with threshold >= 0.5.
recommendations.status,ok
recommendations.session_count,2
recommendations.precision@5,0.41666666666666663
recommendations.recall@5,1.0
recommendations.ndcg@5,0.7753252713598225
recommendations.hit_rate@5,1.0
recommendations.coverage,0.75
recommendations.diversity,0.9583333333333333
recommendations.novelty,0.6714285714285714
recommendations.repetition_rate,0.0
recommendations.prerequisite_violation_rate,0.0
recommendations.difficulty_fit,0.7142857142857143
recommendations.recommendation_acceptance,0.29166666666666663
recommendations.learning_metrics.mastery_gain,0.055
recommendations.learning_metrics.delayed_retention,0.685
recommendations.learning_metrics.completion_rate,0.71
recommendations.learning_metrics.reduction_in_repeated_mistakes,0.1
recommendations.learning_metrics.time_to_mastery,4.0
baseline_comparison.random.status,ok
baseline_comparison.random.session_count,1
baseline_comparison.random.precision@5,0.5
baseline_comparison.random.recall@5,1.0
baseline_comparison.random.ndcg@5,0.5706417189553201
baseline_comparison.random.hit_rate@5,1.0
baseline_comparison.random.coverage,0.5
baseline_comparison.random.diversity,0.9166666666666666
baseline_comparison.random.novelty,0.65
baseline_comparison.random.repetition_rate,0.0
baseline_comparison.random.prerequisite_violation_rate,0.0
baseline_comparison.random.difficulty_fit,0.75
baseline_comparison.random.recommendation_acceptance,0.25
baseline_comparison.random.learning_metrics.mastery_gain,0.08
baseline_comparison.random.learning_metrics.delayed_retention,0.71
baseline_comparison.random.learning_metrics.completion_rate,0.75
baseline_comparison.random.learning_metrics.reduction_in_repeated_mistakes,0.1
baseline_comparison.random.learning_metrics.time_to_mastery,4.0
baseline_comparison.popular_item.status,ok
baseline_comparison.popular_item.session_count,1
baseline_comparison.popular_item.precision@5,0.5
baseline_comparison.popular_item.recall@5,1.0
baseline_comparison.popular_item.ndcg@5,0.5706417189553201
baseline_comparison.popular_item.hit_rate@5,1.0
baseline_comparison.popular_item.coverage,0.5
baseline_comparison.popular_item.diversity,0.9166666666666666
baseline_comparison.popular_item.novelty,0.65
baseline_comparison.popular_item.repetition_rate,0.0
baseline_comparison.popular_item.prerequisite_violation_rate,0.0
baseline_comparison.popular_item.difficulty_fit,0.75
baseline_comparison.popular_item.recommendation_acceptance,0.25
baseline_comparison.popular_item.learning_metrics.mastery_gain,0.08
baseline_comparison.popular_item.learning_metrics.delayed_retention,0.71
baseline_comparison.popular_item.learning_metrics.completion_rate,0.75
baseline_comparison.popular_item.learning_metrics.reduction_in_repeated_mistakes,0.1
baseline_comparison.popular_item.learning_metrics.time_to_mastery,4.0
baseline_comparison.kmeans_cluster_only.status,ok
baseline_comparison.kmeans_cluster_only.session_count,1
baseline_comparison.kmeans_cluster_only.precision@5,0.5
baseline_comparison.kmeans_cluster_only.recall@5,1.0
baseline_comparison.kmeans_cluster_only.ndcg@5,0.8772153153380493
baseline_comparison.kmeans_cluster_only.hit_rate@5,1.0
baseline_comparison.kmeans_cluster_only.coverage,0.5
baseline_comparison.kmeans_cluster_only.diversity,0.9166666666666666
baseline_comparison.kmeans_cluster_only.novelty,0.65
baseline_comparison.kmeans_cluster_only.repetition_rate,0.0
baseline_comparison.kmeans_cluster_only.prerequisite_violation_rate,0.0
baseline_comparison.kmeans_cluster_only.difficulty_fit,0.75
baseline_comparison.kmeans_cluster_only.recommendation_acceptance,0.25
baseline_comparison.kmeans_cluster_only.learning_metrics.mastery_gain,0.08
baseline_comparison.kmeans_cluster_only.learning_metrics.delayed_retention,0.71
baseline_comparison.kmeans_cluster_only.learning_metrics.completion_rate,0.75
baseline_comparison.kmeans_cluster_only.learning_metrics.reduction_in_repeated_mistakes,0.1
baseline_comparison.kmeans_cluster_only.learning_metrics.time_to_mastery,4.0
baseline_comparison.weighted_ranking.status,ok
baseline_comparison.weighted_ranking.session_count,2
baseline_comparison.weighted_ranking.precision@5,0.41666666666666663
baseline_comparison.weighted_ranking.recall@5,1.0
baseline_comparison.weighted_ranking.ndcg@5,0.7753252713598225
baseline_comparison.weighted_ranking.hit_rate@5,1.0
baseline_comparison.weighted_ranking.coverage,0.75
baseline_comparison.weighted_ranking.diversity,0.9583333333333333
baseline_comparison.weighted_ranking.novelty,0.6714285714285714
baseline_comparison.weighted_ranking.repetition_rate,0.0
baseline_comparison.weighted_ranking.prerequisite_violation_rate,0.0
baseline_comparison.weighted_ranking.difficulty_fit,0.7142857142857143
baseline_comparison.weighted_ranking.recommendation_acceptance,0.29166666666666663
baseline_comparison.weighted_ranking.learning_metrics.mastery_gain,0.055
baseline_comparison.weighted_ranking.learning_metrics.delayed_retention,0.685
baseline_comparison.weighted_ranking.learning_metrics.completion_rate,0.71
baseline_comparison.weighted_ranking.learning_metrics.reduction_in_repeated_mistakes,0.1
baseline_comparison.weighted_ranking.learning_metrics.time_to_mastery,4.0
baseline_comparison.weighted_ranking_reranking.status,ok
baseline_comparison.weighted_ranking_reranking.session_count,2
baseline_comparison.weighted_ranking_reranking.precision@5,0.41666666666666663
baseline_comparison.weighted_ranking_reranking.recall@5,1.0
baseline_comparison.weighted_ranking_reranking.ndcg@5,0.7753252713598225
baseline_comparison.weighted_ranking_reranking.hit_rate@5,1.0
baseline_comparison.weighted_ranking_reranking.coverage,0.75
baseline_comparison.weighted_ranking_reranking.diversity,0.9583333333333333
baseline_comparison.weighted_ranking_reranking.novelty,0.6714285714285714
baseline_comparison.weighted_ranking_reranking.repetition_rate,0.0
baseline_comparison.weighted_ranking_reranking.prerequisite_violation_rate,0.0
baseline_comparison.weighted_ranking_reranking.difficulty_fit,0.7142857142857143
baseline_comparison.weighted_ranking_reranking.recommendation_acceptance,0.29166666666666663
baseline_comparison.weighted_ranking_reranking.learning_metrics.mastery_gain,0.055
baseline_comparison.weighted_ranking_reranking.learning_metrics.delayed_retention,0.685
baseline_comparison.weighted_ranking_reranking.learning_metrics.completion_rate,0.71
baseline_comparison.weighted_ranking_reranking.learning_metrics.reduction_in_repeated_mistakes,0.1
baseline_comparison.weighted_ranking_reranking.learning_metrics.time_to_mastery,4.0
ablation_study.without_knowledge_graph.status,ok
ablation_study.without_knowledge_graph.session_count,1
ablation_study.without_knowledge_graph.precision@5,0.5
ablation_study.without_knowledge_graph.recall@5,1.0
ablation_study.without_knowledge_graph.ndcg@5,0.9197207891481876
ablation_study.without_knowledge_graph.hit_rate@5,1.0
ablation_study.without_knowledge_graph.coverage,0.5
ablation_study.without_knowledge_graph.diversity,0.9166666666666666
ablation_study.without_knowledge_graph.novelty,0.65
ablation_study.without_knowledge_graph.repetition_rate,0.0
ablation_study.without_knowledge_graph.prerequisite_violation_rate,0.25
ablation_study.without_knowledge_graph.difficulty_fit,0.75
ablation_study.without_knowledge_graph.recommendation_acceptance,0.25
ablation_study.without_knowledge_graph.learning_metrics.mastery_gain,0.08
ablation_study.without_knowledge_graph.learning_metrics.delayed_retention,0.71
ablation_study.without_knowledge_graph.learning_metrics.completion_rate,0.75
ablation_study.without_knowledge_graph.learning_metrics.reduction_in_repeated_mistakes,0.1
ablation_study.without_knowledge_graph.learning_metrics.time_to_mastery,4.0
ablation_study.without_bkt.status,ok
ablation_study.without_bkt.session_count,1
ablation_study.without_bkt.precision@5,0.5
ablation_study.without_bkt.recall@5,1.0
ablation_study.without_bkt.ndcg@5,0.6509209298071326
ablation_study.without_bkt.hit_rate@5,1.0
ablation_study.without_bkt.coverage,0.5
ablation_study.without_bkt.diversity,0.9166666666666666
ablation_study.without_bkt.novelty,0.65
ablation_study.without_bkt.repetition_rate,0.0
ablation_study.without_bkt.prerequisite_violation_rate,0.0
ablation_study.without_bkt.difficulty_fit,0.75
ablation_study.without_bkt.recommendation_acceptance,0.25
ablation_study.without_bkt.learning_metrics.mastery_gain,0.08
ablation_study.without_bkt.learning_metrics.delayed_retention,0.71
ablation_study.without_bkt.learning_metrics.completion_rate,0.75
ablation_study.without_bkt.learning_metrics.reduction_in_repeated_mistakes,0.1
ablation_study.without_bkt.learning_metrics.time_to_mastery,4.0
ablation_study.without_irt.status,ok
ablation_study.without_irt.session_count,1
ablation_study.without_irt.precision@5,0.5
ablation_study.without_irt.recall@5,1.0
ablation_study.without_irt.ndcg@5,0.6509209298071326
ablation_study.without_irt.hit_rate@5,1.0
ablation_study.without_irt.coverage,0.5
ablation_study.without_irt.diversity,0.9166666666666666
ablation_study.without_irt.novelty,0.65
ablation_study.without_irt.repetition_rate,0.0
ablation_study.without_irt.prerequisite_violation_rate,0.0
ablation_study.without_irt.difficulty_fit,0.75
ablation_study.without_irt.recommendation_acceptance,0.25
ablation_study.without_irt.learning_metrics.mastery_gain,0.08
ablation_study.without_irt.learning_metrics.delayed_retention,0.71
ablation_study.without_irt.learning_metrics.completion_rate,0.75
ablation_study.without_irt.learning_metrics.reduction_in_repeated_mistakes,0.1
ablation_study.without_irt.learning_metrics.time_to_mastery,4.0
ablation_study.without_kmeans.status,ok
ablation_study.without_kmeans.session_count,1
ablation_study.without_kmeans.precision@5,0.5
ablation_study.without_kmeans.recall@5,1.0
ablation_study.without_kmeans.ndcg@5,0.9197207891481876
ablation_study.without_kmeans.hit_rate@5,1.0
ablation_study.without_kmeans.coverage,0.5
ablation_study.without_kmeans.diversity,0.9166666666666666
ablation_study.without_kmeans.novelty,0.65
ablation_study.without_kmeans.repetition_rate,0.0
ablation_study.without_kmeans.prerequisite_violation_rate,0.0
ablation_study.without_kmeans.difficulty_fit,0.75
ablation_study.without_kmeans.recommendation_acceptance,0.25
ablation_study.without_kmeans.learning_metrics.mastery_gain,0.08
ablation_study.without_kmeans.learning_metrics.delayed_retention,0.71
ablation_study.without_kmeans.learning_metrics.completion_rate,0.75
ablation_study.without_kmeans.learning_metrics.reduction_in_repeated_mistakes,0.1
ablation_study.without_kmeans.learning_metrics.time_to_mastery,4.0
ablation_study.without_interest.status,ok
ablation_study.without_interest.session_count,1
ablation_study.without_interest.precision@5,0.3333333333333333
ablation_study.without_interest.recall@5,1.0
ablation_study.without_interest.ndcg@5,0.5
ablation_study.without_interest.hit_rate@5,1.0
ablation_study.without_interest.coverage,0.375
ablation_study.without_interest.diversity,1.0
ablation_study.without_interest.novelty,0.7
ablation_study.without_interest.repetition_rate,0.0
ablation_study.without_interest.prerequisite_violation_rate,0.0
ablation_study.without_interest.difficulty_fit,0.6666666666666666
ablation_study.without_interest.recommendation_acceptance,0.3333333333333333
ablation_study.without_interest.learning_metrics.mastery_gain,0.03
ablation_study.without_interest.learning_metrics.delayed_retention,0.66
ablation_study.without_interest.learning_metrics.completion_rate,0.67
ablation_study.without_interest.learning_metrics.reduction_in_repeated_mistakes,0.1
ablation_study.without_interest.learning_metrics.time_to_mastery,4.0
ablation_study.without_forgetting.status,ok
ablation_study.without_forgetting.session_count,1
ablation_study.without_forgetting.precision@5,0.3333333333333333
ablation_study.without_forgetting.recall@5,1.0
ablation_study.without_forgetting.ndcg@5,0.5
ablation_study.without_forgetting.hit_rate@5,1.0
ablation_study.without_forgetting.coverage,0.375
ablation_study.without_forgetting.diversity,1.0
ablation_study.without_forgetting.novelty,0.7
ablation_study.without_forgetting.repetition_rate,0.0
ablation_study.without_forgetting.prerequisite_violation_rate,0.0
ablation_study.without_forgetting.difficulty_fit,0.6666666666666666
ablation_study.without_forgetting.recommendation_acceptance,0.3333333333333333
ablation_study.without_forgetting.learning_metrics.mastery_gain,0.03
ablation_study.without_forgetting.learning_metrics.delayed_retention,0.66
ablation_study.without_forgetting.learning_metrics.completion_rate,0.67
ablation_study.without_forgetting.learning_metrics.reduction_in_repeated_mistakes,0.1
ablation_study.without_forgetting.learning_metrics.time_to_mastery,4.0
ablation_study.without_diversity_reranking.status,ok
ablation_study.without_diversity_reranking.session_count,1
ablation_study.without_diversity_reranking.precision@5,0.5
ablation_study.without_diversity_reranking.recall@5,1.0
ablation_study.without_diversity_reranking.ndcg@5,0.9197207891481876
ablation_study.without_diversity_reranking.hit_rate@5,1.0
ablation_study.without_diversity_reranking.coverage,0.5
ablation_study.without_diversity_reranking.diversity,0.0
ablation_study.without_diversity_reranking.novelty,0.65
ablation_study.without_diversity_reranking.repetition_rate,0.0
ablation_study.without_diversity_reranking.prerequisite_violation_rate,0.0
ablation_study.without_diversity_reranking.difficulty_fit,0.75
ablation_study.without_diversity_reranking.recommendation_acceptance,0.25
ablation_study.without_diversity_reranking.learning_metrics.mastery_gain,0.08
ablation_study.without_diversity_reranking.learning_metrics.delayed_retention,0.71
ablation_study.without_diversity_reranking.learning_metrics.completion_rate,0.75
ablation_study.without_diversity_reranking.learning_metrics.reduction_in_repeated_mistakes,0.1
ablation_study.without_diversity_reranking.learning_metrics.time_to_mastery,4.0
ai_explanations.status,ok
ai_explanations.sample_count,3
ai_explanations.groundedness,0.6666666666666666
ai_explanations.faithfulness_to_input_scores,0.6666666666666666
ai_explanations.hallucinated_number_rate,0.3333333333333333
ai_explanations.source_validity,1.0
ai_explanations.explanation_relevance,0.6666666666666666
ai_explanations.fallback_rate,0.3333333333333333
